County,State,Population
Boulder County,Colorado,"318,027"
Broomfield County,Colorado,"64,866"
Chaffee County,Colorado,"18,612"
Cheyenne County,Colorado,"1,827"
Clear Creek County,Colorado,"9,244"
Conejos County,Colorado,"8,065"
Costilla County,Colorado,"3,576"
Crowley County,Colorado,"5,628"
Custer County,Colorado,"4,434"
Delta County,Colorado,"29,913"
Denver County,Colorado,"683,285"
Dolores County,Colorado,"1,981"
Douglas County,Colorado,"322,025"
Eagle County,Colorado,"53,865"
Elbert County,Colorado,"24,630"
El Paso County,Colorado,"674,001"
Fremont County,Colorado,"46,282"
Garfield County,Colorado,"57,698"
Gilpin County,Colorado,"5,805"
Grand County,Colorado,"14,726"
Gunnison County,Colorado,"16,104"
Hinsdale County,Colorado",764
Huerfano County,Colorado,"6,404"
Jackson County,Colorado,"1,353"
Jefferson County,Colorado,"564,888"
Kiowa County,Colorado,"1,384"
Kit Carson County,Colorado,"8,215"
Lake County,Colorado,"7,442"
La Plata County,Colorado,"54,687"
Larimer County,Colorado,"333,303"
Las Animas County,Colorado,"14,043"
Lincoln County,Colorado,"5,543"
Logan County,Colorado,"22,472"
Mesa County,Colorado,"148,025"
Mineral County,Colorado",744
Moffat County,Colorado,"12,939"
Montezuma County,Colorado,"25,716"
Montrose County,Colorado,"40,562"
Morgan County,Colorado,"28,252"
Otero County,Colorado,"18,182"
Ouray County,Colorado,"4,608"
Park County,Colorado,"16,726"
Phillips County,Colorado,"4,327"
Pitkin County,Colorado,"17,940"
Prowers County,Colorado,"11,936"
Pueblo County,Colorado,"163,006"
Rio Blanco County,Colorado,"6,478"
Rio Grande County,Colorado,"11,352"
Routt County,Colorado,"24,360"
Saguache County,Colorado,"6,253"
San Juan County,Colorado",689
San Miguel County,Colorado,"7,836"
Sedgwick County,Colorado,"2,373"
Summit County,Colorado,"30,045"
Teller County,Colorado,"23,388"
Washington County,Colorado,"4,786"
Weld County,Colorado,"285,819"
Yuma County,Colorado,"10,037"
Fairfield County,Connecticut,"944,943"
Hartford County,Connecticut,"896,290"
Litchfield County,Connecticut,"184,122"
Middlesex County,Connecticut,"163,724"
New Haven County,Connecticut,"860,186"
New London County,Connecticut,"269,636"
Tolland County,Connecticut,"151,734"
Windham County,Connecticut,"116,487"
Kent County,Delaware,"173,128"
New Castle County,Delaware,"553,488"
Sussex County,Delaware,"214,636"
District of Columbia,District of Columbia,"675,400"
Alachua County,Florida,"259,052"
Baker County,Florida,"27,355"
Bay County,Florida,"181,488"
Bradford County,Florida,"26,748"
Brevard County,Florida,"565,746"
Broward County,Florida,"1,885,040"
Calhoun County,Florida,"14,406"
Charlotte County,Florida,"172,382"
Citrus County,Florida,"140,287"
Clay County,Florida,"202,392"
Collier County,Florida,"356,041"
Columbia County,Florida,"68,222"
DeSoto County,Florida,"35,648"
Dixie County,Florida,"16,353"
Duval County,Florida,"910,578"
Escambia County,Florida,"309,311"
Flagler County,Florida,"104,436"
Franklin County,Florida,"11,707"
Gadsden County,Florida,"46,060"
Gilchrist County,Florida,"17,378"
Glades County,Florida,"13,099"
Gulf County,Florida,"15,929"
Hamilton County,Florida,"14,272"
Hardee County,Florida,"27,177"
Hendry County,Florida,"39,248"
Hernando County,Florida,"177,900"
Highlands County,Florida,"100,137"
Hillsborough County,Florida,"1,364,073"
Holmes County,Florida,"19,273"
Indian River County,Florida,"147,434"
Jackson County,Florida,"48,609"
Jefferson County,Florida,"14,115"
Lafayette County,Florida,"8,724"
Lake County,Florida,"325,154"
Lee County,Florida,"699,644"
Leon County,Florida,"285,904"
Levy County,Florida,"39,601"
Liberty County,Florida,"8,409"
Madison County,Florida,"18,478"
Manatee County,Florida,"362,548"
Marion County,Florida,"342,182"
Martin County,Florida,"155,559"
Miami-Dade County,Florida,"2,659,839"
Monroe County,Florida,"76,648"
Nassau County,Florida,"77,951"
Okaloosa County,Florida,"197,748"
Okeechobee County,Florida,"39,854"
Orange County,Florida,"1,291,301"
Osceola County,Florida,"323,736"
Palm Beach County,Florida,"1,424,256"
Pasco County,Florida,"494,895"
Pinellas County,Florida,"947,060"
Polk County,Florida,"648,523"
Putnam County,Florida,"71,939"
St. Johns County,Florida,"226,362"
St. Lucie County,Florida,"297,282"
Santa Rosa County,Florida,"166,226"
Sarasota County,Florida,"404,761"
Seminole County,Florida,"448,318"
Sumter County,Florida,"117,076"
Suwannee County,Florida,"43,677"
Taylor County,Florida,"22,355"
Union County,Florida,"15,265"
Volusia County,Florida,"516,730"
Wakulla County,Florida,"31,523"
Walton County,Florida,"63,066"
Washington County,Florida,"24,552"
Appling County,Georgia,"18,423"
Atkinson County,Georgia,"8,340"
Bacon County,Georgia,"11,231"
Baker County,Georgia,"3,194"
Baldwin County,Georgia,"45,549"
Banks County,Georgia,"18,381"
Barrow County,Georgia,"74,979"
Bartow County,Georgia,"102,043"
Ben Hill County,Georgia,"17,357"
Berrien County,Georgia,"18,991"
Bibb County,Georgia,"153,945"
Bleckley County,Georgia,"12,714"
Brantley County,Georgia,"18,437"
Brooks County,Georgia,"15,670"
Bryan County,Georgia,"34,792"
Bulloch County,Georgia,"73,116"
Burke County,Georgia,"22,632"
Butts County,Georgia,"23,520"
Calhoun County,Georgia,"6,534"
Camden County,Georgia,"52,439"
Candler County,Georgia,"10,873"
Carroll County,Georgia,"114,461"
Catoosa County,Georgia,"65,778"
Charlton County,Georgia,"13,239"
Chatham County,Georgia,"285,959"
Chattahoochee County,Georgia,"11,042"
Chattooga County,Georgia,"24,905"
Cherokee County,Georgia,"235,329"
Clarke County,Georgia,"123,561"
Clay County,Georgia,"3,077"
Clayton County,Georgia,"272,720"
Clinch County,Georgia,"6,826"
Cobb County,Georgia,"739,052"
Coffee County,Georgia,"42,987"
Colquitt County,Georgia,"45,466"
Columbia County,Georgia,"143,837"
Cook County,Georgia,"17,070"
Coweta County,Georgia,"138,145"
Crawford County,Georgia,"12,354"
Crisp County,Georgia,"22,959"
Dade County,Georgia,"16,162"
Dawson County,Georgia,"23,369"
Decatur County,Georgia,"27,049"
DeKalb County,Georgia,"734,434"
Dodge County,Georgia,"21,142"
Dooly County,Georgia,"14,034"
Dougherty County,Georgia,"91,513"
Douglas County,Georgia,"140,173"
Early County,Georgia,"10,462"
Echols County,Georgia,"4,030"
Effingham County,Georgia,"57,076"
Elbert County,Georgia,"19,302"
Emanuel County,Georgia,"22,471"
Evans County,Georgia,"10,690"
Fannin County,Georgia,"24,442"
Fayette County,Georgia,"110,141"
Floyd County,Georgia,"96,186"
Forsyth County,Georgia,"211,250"
Franklin County,Georgia,"22,267"
Fulton County,Georgia,"1,005,127"
Gilmer County,Georgia,"29,514"
Glascock County,Georgia,"3,020"
Glynn County,Georgia,"83,311"
Gordon County,Georgia,"56,324"
Grady County,Georgia,"25,089"
Greene County,Georgia,"16,617"
Gwinnett County,Georgia,"888,494"
Habersham County,Georgia,"43,792"
Hall County,Georgia,"192,245"
Hancock County,Georgia,"8,578"
Haralson County,Georgia,"28,702"
Harris County,Georgia,"33,155"
Hart County,Georgia,"25,410"
Heard County,Georgia,"11,556"
Henry County,Georgia,"216,414"
Houston County,Georgia,"149,323"
Irwin County,Georgia,"9,135"
Jackson County,Georgia,"63,418"
Jasper County,Georgia,"13,683"
Jeff Davis County,Georgia,"15,013"
Jefferson County,Georgia,"15,917"
Jenkins County,Georgia,"8,899"
Johnson County,Georgia,"9,708"
Jones County,Georgia,"28,441"
Lamar County,Georgia,"18,236"
Lanier County,Georgia,"10,269"
Laurens County,Georgia,"47,486"
Lee County,Georgia,"29,173"
Liberty County,Georgia,"61,611"
Lincoln County,Georgia,"7,722"
Long County,Georgia,"17,658"
Lowndes County,Georgia,"113,342"
Lumpkin County,Georgia,"31,285"
McDuffie County,Georgia,"21,462"
McIntosh County,Georgia,"14,031"
Macon County,Georgia,"13,688"
Madison County,Georgia,"28,419"
Marion County,Georgia,"8,558"
Meriwether County,Georgia,"21,173"
Miller County,Georgia,"5,848"
Mitchell County,Georgia,"22,449"
Monroe County,Georgia,"26,708"
Montgomery County,Georgia,"8,942"
Morgan County,Georgia,"17,948"
Murray County,Georgia,"39,430"
Muscogee County,Georgia,"198,702"
Newton County,Georgia,"104,884"
Oconee County,Georgia,"35,853"
Oglethorpe County,Georgia,"14,732"
Paulding County,Georgia,"151,649"
Peach County,Georgia,"26,970"
Pickens County,Georgia,"30,136"
Pierce County,Georgia,"19,094"
Pike County,Georgia,"17,925"
Polk County,Georgia,"41,207"
Pulaski County,Georgia,"11,395"
Putnam County,Georgia,"21,307"
Quitman County,Georgia,"2,275"
Rabun County,Georgia,"16,223"
Randolph County,Georgia,"7,150"
Richmond County,Georgia,"201,451"
Rockdale County,Georgia,"88,354"
Schley County,Georgia,"5,209"
Screven County,Georgia,"14,059"
Seminole County,Georgia,"8,565"
Spalding County,Georgia,"63,818"
Stephens County,Georgia,"25,446"
Stewart County,Georgia,"5,973"
Sumter County,Georgia,"30,696"
Talbot County,Georgia,"6,498"
Taliaferro County,Georgia,"1,642"
Tattnall County,Georgia,"25,387"
Taylor County,Georgia,"8,243"
Telfair County,Georgia,"16,451"
Terrell County,Georgia,"9,013"
Thomas County,Georgia,"44,796"
Tift County,Georgia,"40,536"
Toombs County,Georgia,"27,150"
Towns County,Georgia,"11,212"
Treutlen County,Georgia,"6,803"
Troup County,Georgia,"69,595"
Turner County,Georgia,"7,982"
Twiggs County,Georgia,"8,347"
Union County,Georgia,"22,007"
Upson County,Georgia,"26,231"
Walker County,Georgia,"68,537"
Walton County,Georgia,"88,333"
Ware County,Georgia,"35,327"
Warren County,Georgia,"5,374"
Washington County,Georgia,"20,736"
Wayne County,Georgia,"29,430"
Webster County,Georgia,"2,631"
Wheeler County,Georgia,"7,911"
White County,Georgia,"28,387"
Whitfield County,Georgia,"103,669"
Wilcox County,Georgia,"9,024"
Wilkes County,Georgia,"9,911"
Wilkinson County,Georgia,"9,080"
Worth County,Georgia,"20,688"
Hawaii County,Hawaii,"195,975"
Honolulu County,Hawaii,"991,064"
Kalawao County,Hawaii",88
Kauai County,Hawaii,"71,021"
Maui County,Hawaii,"163,904"
Ada County,Idaho,"432,862"
Adams County,Idaho,"3,891"
Bannock County,Idaho,"84,184"
Bear Lake County,Idaho,"5,879"
Benewah County,Idaho,"8,996"
Bingham County,Idaho,"45,057"
Blaine County,Idaho,"21,636"
Boise County,Idaho,"6,963"
Bonner County,Idaho,"41,600"
Bonneville County,Idaho,"109,849"
Boundary County,Idaho,"11,299"
Butte County,Idaho,"2,566"
Camas County,Idaho,"1,070"
Canyon County,Idaho,"206,842"
Caribou County,Idaho,"6,733"
Cassia County,Idaho,"23,499"
Clark County,Idaho",886
Clearwater County,Idaho,"8,554"
