County,State,Population
Carter County,Montana,"1,147"
Cascade County,Montana,"81,878"
Chouteau County,Montana,"5,774"
Custer County,Montana,"12,083"
Daniels County,Montana,"1,750"
Dawson County,Montana,"9,577"
Deer Lodge County,Montana,"9,102"
Fallon County,Montana,"3,171"
Fergus County,Montana,"11,307"
Flathead County,Montana,"95,839"
Gallatin County,Montana,"100,882"
Garfield County,Montana,"1,284"
Glacier County,Montana,"13,636"
Golden Valley County,Montana",818
Granite County,Montana,"3,163"
Hill County,Montana,"16,438"
Jefferson County,Montana,"11,572"
Judith Basin County,Montana,"1,931"
Lake County,Montana,"29,457"
Lewis and Clark County,Montana,"66,225"
Liberty County,Montana,"2,391"
Lincoln County,Montana,"19,060"
McCone County,Montana,"1,700"
Madison County,Montana,"8,026"
Meagher County,Montana,"1,821"
Mineral County,Montana,"4,192"
Missoula County,Montana,"114,122"
Musselshell County,Montana,"4,628"
Park County,Montana,"16,003"
Petroleum County,Montana",474
Phillips County,Montana,"4,146"
Pondera County,Montana,"6,095"
Powder River County,Montana,"1,768"
Powell County,Montana,"6,799"
Prairie County,Montana,"1,140"
Ravalli County,Montana,"41,148"
Richland County,Montana,"11,902"
Roosevelt County,Montana,"11,417"
Rosebud County,Montana,"9,347"
Sanders County,Montana,"11,293"
Sheridan County,Montana,"3,673"
Silver Bow County,Montana,"34,691"
Stillwater County,Montana,"9,425"
Sweet Grass County,Montana,"3,620"
Teton County,Montana,"6,062"
Toole County,Montana,"5,077"
Treasure County,Montana",684
Valley County,Montana,"7,621"
Wheatland County,Montana,"2,111"
Wibaux County,Montana,"1,072"
Yellowstone County,Montana,"156,529"
Adams County,Nebraska,"31,567"
Antelope County,Nebraska,"6,415"
Arthur County,Nebraska",451
Banner County,Nebraska",711
Blaine County,Nebraska",477
Boone County,Nebraska,"5,310"
Box Butte County,Nebraska,"11,325"
Boyd County,Nebraska,"2,002"
Brown County,Nebraska,"2,982"
Buffalo County,Nebraska,"48,578"
Burt County,Nebraska,"6,538"
Butler County,Nebraska,"8,058"
Cass County,Nebraska,"25,421"
Cedar County,Nebraska,"8,518"
Chase County,Nebraska,"3,963"
Cherry County,Nebraska,"5,824"
Cheyenne County,Nebraska,"10,137"
Clay County,Nebraska,"6,291"
Colfax County,Nebraska,"10,717"
Cuming County,Nebraska,"9,075"
Custer County,Nebraska,"10,828"
Dakota County,Nebraska,"20,550"
Dawes County,Nebraska,"8,958"
Dawson County,Nebraska,"23,892"
Deuel County,Nebraska,"1,910"
Dixon County,Nebraska,"5,769"
Dodge County,Nebraska,"36,567"
Douglas County,Nebraska,"549,029"
Dundy County,Nebraska,"1,770"
Fillmore County,Nebraska,"5,553"
Franklin County,Nebraska,"2,977"
Frontier County,Nebraska,"2,631"
Furnas County,Nebraska,"4,831"
Gage County,Nebraska,"21,715"
Garden County,Nebraska,"1,916"
Garfield County,Nebraska,"2,014"
Gosper County,Nebraska,"2,025"
Grant County,Nebraska",646
Greeley County,Nebraska,"2,435"
Hall County,Nebraska,"61,132"
Hamilton County,Nebraska,"9,141"
Harlan County,Nebraska,"3,441"
Hayes County,Nebraska",915
Hitchcock County,Nebraska,"2,879"
Holt County,Nebraska,"10,263"
Hooker County,Nebraska",714
Howard County,Nebraska,"6,382"
Jefferson County,Nebraska,"7,221"
Johnson County,Nebraska,"5,239"
Kearney County,Nebraska,"6,558"
Keith County,Nebraska,"8,136"
Keya Paha County,Nebraska",797
Kimball County,Nebraska,"3,716"
Knox County,Nebraska,"8,468"
Lancaster County,Nebraska,"306,096"
Lincoln County,Nebraska,"35,501"
Logan County,Nebraska",791
Loup County,Nebraska",606
McPherson County,Nebraska",489
Madison County,Nebraska,"34,999"
Merrick County,Nebraska,"7,805"
Morrill County,Nebraska,"4,925"
Nance County,Nebraska,"3,573"
Nemaha County,Nebraska,"7,005"
Nuckolls County,Nebraska,"4,322"
Otoe County,Nebraska,"15,842"
Pawnee County,Nebraska,"2,691"
Perkins County,Nebraska,"2,932"
Phelps County,Nebraska,"9,217"
Pierce County,Nebraska,"7,190"
Platte County,Nebraska,"32,876"
Polk County,Nebraska,"5,171"
Red Willow County,Nebraska,"10,883"
Richardson County,Nebraska,"8,025"
Rock County,Nebraska,"1,417"
Saline County,Nebraska,"14,196"
Sarpy County,Nebraska,"175,173"
Saunders County,Nebraska,"20,949"
Scotts Bluff County,Nebraska,"36,245"
Seward County,Nebraska,"16,994"
Sheridan County,Nebraska,"5,216"
Sherman County,Nebraska,"3,036"
Sioux County,Nebraska,"1,276"
Stanton County,Nebraska,"5,944"
Thayer County,Nebraska,"5,129"
Thomas County,Nebraska",693
Thurston County,Nebraska,"7,073"
Valley County,Nebraska,"4,168"
Washington County,Nebraska,"19,917"
Wayne County,Nebraska,"9,366"
Webster County,Nebraska,"3,592"
Wheeler County,Nebraska",779
York County,Nebraska,"13,797"
Churchill County,Nevada,"23,957"
Clark County,Nevada,"2,096,717"
Douglas County,Nevada,"47,404"
Elko County,Nevada,"51,728"
Esmeralda County,Nevada",830
Eureka County,Nevada,"2,029"
Humboldt County,Nevada,"17,017"
Lander County,Nevada,"5,873"
Lincoln County,Nevada,"5,136"
Lyon County,Nevada,"51,974"
Mineral County,Nevada,"4,420"
Nye County,Nevada,"42,966"
Pershing County,Nevada,"6,618"
Storey County,Nevada,"3,876"
Washoe County,Nevada,"442,453"
White Pine County,Nevada,"9,873"
Carson City,Nevada,"54,068"
Belknap County,New Hampshire,"60,370"
Carroll County,New Hampshire,"47,399"
Cheshire County,New Hampshire,"76,288"
Coos County,New Hampshire,"32,343"
Grafton County,New Hampshire,"89,439"
Hillsborough County,New Hampshire,"408,985"
Merrimack County,New Hampshire,"148,649"
Rockingham County,New Hampshire,"302,691"
Strafford County,New Hampshire,"127,038"
Sullivan County,New Hampshire,"43,148"
Atlantic County,New Jersey,"270,153"
Bergen County,New Jersey,"926,391"
Burlington County,New Jersey,"446,832"
Camden County,New Jersey,"507,638"
Cape May County,New Jersey,"94,160"
Cumberland County,New Jersey,"154,712"
Essex County,New Jersey,"790,439"
Gloucester County,New Jersey,"290,943"
Hudson County,New Jersey,"664,492"
Hunterdon County,New Jersey,"125,452"
Mercer County,New Jersey,"368,124"
Middlesex County,New Jersey,"825,546"
Monmouth County,New Jersey,"624,079"
Morris County,New Jersey,"494,259"
Ocean County,New Jersey,"587,091"
Passaic County,New Jersey,"504,629"
Salem County,New Jersey,"63,732"
Somerset County,New Jersey,"329,626"
Sussex County,New Jersey,"143,004"
Union County,New Jersey,"549,905"
Warren County,New Jersey,"106,742"
Bernalillo County,New Mexico,"676,248"
Catron County,New Mexico,"3,476"
Chaves County,New Mexico,"65,825"
Cibola County,New Mexico,"27,044"
Colfax County,New Mexico,"12,429"
Curry County,New Mexico,"50,290"
De Baca County,New Mexico,"1,873"
Doña Ana County,New Mexico,"214,034"
Eddy County,New Mexico,"57,715"
Grant County,New Mexico,"28,364"
Guadalupe County,New Mexico,"4,350"
Harding County,New Mexico",719
Hidalgo County,New Mexico,"4,436"
Lea County,New Mexico,"71,476"
Lincoln County,New Mexico,"19,352"
Los Alamos County,New Mexico,"17,817"
Luna County,New Mexico,"24,367"
McKinley County,New Mexico,"73,462"
Mora County,New Mexico,"4,609"
Otero County,New Mexico,"64,768"
Quay County,New Mexico,"8,445"
Rio Arriba County,New Mexico,"39,370"
Roosevelt County,New Mexico,"19,137"
Sandoval County,New Mexico,"138,521"
San Juan County,New Mexico,"128,246"
San Miguel County,New Mexico,"28,215"
Santa Fe County,New Mexico,"148,098"
Sierra County,New Mexico,"11,236"
Socorro County,New Mexico,"17,152"
Taos County,New Mexico,"32,797"
Torrance County,New Mexico,"15,596"
Union County,New Mexico,"4,163"
Valencia County,New Mexico,"75,661"
Albany County,New York,"307,433"
Allegany County,New York,"47,334"
Bronx County,New York,"1,440,005"
Broome County,New York,"195,928"
Cattaraugus County,New York,"77,926"
Cayuga County,New York,"78,298"
Chautauqua County,New York,"130,529"
Chemung County,New York,"86,705"
Chenango County,New York,"48,772"
Clinton County,New York,"80,718"
Columbia County,New York,"61,434"
Cortland County,New York,"48,290"
Delaware County,New York,"45,891"
Dutchess County,New York,"294,039"
Erie County,New York,"920,644"
Essex County,New York,"37,965"
Franklin County,New York,"50,540"
Fulton County,New York,"53,801"
Genesee County,New York,"58,462"
Greene County,New York,"47,616"
Hamilton County,New York,"4,699"
Herkimer County,New York,"62,652"
Jefferson County,New York,"116,371"
Kings County,New York,"2,608,794"
Lewis County,New York,"26,827"
Livingston County,New York,"64,344"
Madison County,New York,"71,636"
Monroe County,New York,"745,577"
Montgomery County,New York,"49,564"
Nassau County,New York,"1,354,840"
New York County,New York,"1,636,063"
Niagara County,New York,"212,358"
Oneida County,New York,"231,264"
Onondaga County,New York,"466,277"
Ontario County,New York,"109,271"
Orange County,New York,"375,803"
Orleans County,New York,"41,481"
Oswego County,New York,"119,735"
Otsego County,New York,"60,504"
Putnam County,New York,"99,185"
Queens County,New York,"2,305,838"
Rensselaer County,New York,"159,436"
Richmond County,New York,"472,349"
Rockland County,New York,"322,919"
St. Lawrence County,New York,"110,348"
Saratoga County,New York,"226,078"
Schenectady County,New York,"154,733"
Schoharie County,New York,"31,405"
Schuyler County,New York,"18,027"
Seneca County,New York,"34,801"
Steuben County,New York,"97,551"
Suffolk County,New York,"1,491,967"
Sullivan County,New York,"74,832"
Tioga County,New York,"49,355"
Tompkins County,New York,"103,006"
Ulster County,New York,"179,658"
Warren County,New York,"64,420"
Washington County,New York,"62,246"
Wayne County,New York,"91,291"
Westchester County,New York,"968,773"
Wyoming County,New York,"40,930"
Yates County,New York,"25,128"
Alamance County,North Carolina,"157,037"
Alexander County,North Carolina,"36,960"
Alleghany County,North Carolina,"10,856"
Anson County,North Carolina,"25,602"
Ashe County,North Carolina,"26,628"
Avery County,North Carolina,"17,486"
Beaufort County,North Carolina,"47,389"
Bertie County,North Carolina,"20,162"
Bladen County,North Carolina,"34,083"
Brunswick County,North Carolina,"122,211"
Buncombe County,North Carolina,"251,954"
Burke County,North Carolina,"89,341"
Cabarrus County,North Carolina,"196,396"
Caldwell County,North Carolina,"81,518"
Camden County,North Carolina,"10,282"
Carteret County,North Carolina,"68,712"
Caswell County,North Carolina,"22,813"
Catawba County,North Carolina,"155,527"
Chatham County,North Carolina,"68,263"
Cherokee County,North Carolina,"27,102"
Chowan County,North Carolina,"14,248"
Clay County,North Carolina,"10,623"
Cleveland County,North Carolina,"96,850"
Columbus County,North Carolina,"56,675"
Craven County,North Carolina,"102,853"
Cumberland County,North Carolina,"331,203"
Currituck County,North Carolina,"25,106"
Dare County,North Carolina,"35,468"
Davidson County,North Carolina,"163,486"
Davie County,North Carolina,"41,648"
Duplin County,North Carolina,"58,883"
Durham County,North Carolina,"300,793"
Edgecombe County,North Carolina,"53,743"
Forsyth County,North Carolina,"367,365"
Franklin County,North Carolina,"63,668"
Gaston County,North Carolina,"212,919"
Gates County,North Carolina,"11,531"
Graham County,North Carolina,"8,588"
Granville County,North Carolina,"58,162"
Greene County,North Carolina,"20,950"
Guilford County,North Carolina,"517,053"
Halifax County,North Carolina,"52,182"
Harnett County,North Carolina,"128,034"
Haywood County,North Carolina,"59,646"
Henderson County,North Carolina,"111,847"
Hertford County,North Carolina,"24,373"
Hoke County,North Carolina,"52,739"
Hyde County,North Carolina,"5,426"
Iredell County,North Carolina,"169,453"
Jackson County,North Carolina,"41,305"
Johnston County,North Carolina,"185,104"
Jones County,North Carolina,"9,777"
Lee County,North Carolina,"59,371"
Lenoir County,North Carolina,"57,981"
Lincoln County,North Carolina,"80,607"
McDowell County,North Carolina,"44,967"
Macon County,North Carolina,"34,090"
Madison County,North Carolina,"21,146"
Martin County,North Carolina,"23,262"
Mecklenburg County,North Carolina,"1,033,238"
Mitchell County,North Carolina,"15,071"
Montgomery County,North Carolina,"27,438"
Moore County,North Carolina,"94,013"
Nash County,North Carolina,"93,786"
New Hanover County,North Carolina,"219,422"
Northampton County,North Carolina,"20,533"
Onslow County,North Carolina,"193,114"
Orange County,North Carolina,"141,298"
Pamlico County,North Carolina,"12,741"
Pasquotank County,North Carolina,"39,384"
Pender County,North Carolina,"57,426"
Perquimans County,North Carolina,"13,463"
Person County,North Carolina,"39,190"
Pitt County,North Carolina,"176,071"
Polk County,North Carolina,"20,414"
Randolph County,North Carolina,"142,575"
Richmond County,North Carolina,"45,429"
Robeson County,North Carolina,"134,460"
Rockingham County,North Carolina,"91,657"
Rowan County,North Carolina,"138,497"
Rutherford County,North Carolina,"66,375"
Sampson County,North Carolina,"63,559"
Scotland County,North Carolina,"35,321"
Stanly County,North Carolina,"60,622"
Stokes County,North Carolina,"46,159"
Surry County,North Carolina,"71,998"
Swain County,North Carolina,"14,326"
Transylvania County,North Carolina,"33,157"
Tyrrell County,North Carolina,"4,139"
Union County,North Carolina,"221,949"
Vance County,North Carolina,"44,459"
Wake County,North Carolina,"1,022,319"
Warren County,North Carolina,"20,207"
Washington County,North Carolina,"12,247"
Watauga County,North Carolina,"53,093"
Wayne County,North Carolina,"124,342"
Wilkes County,North Carolina,"68,298"
Wilson County,North Carolina,"81,240"
Yadkin County,North Carolina,"37,619"
Yancey County,North Carolina,"17,550"
Adams County,North Dakota,"2,397"
Barnes County,North Dakota,"11,008"
Benson County,North Dakota,"6,820"
Billings County,North Dakota",948
"Bottineau County,North Dakota,"6,734"
Bowman County,North Dakota,"3,277"
Burke County,North Dakota,"2,344"
Burleigh County,North Dakota,"93,211"
Cass County,North Dakota,"170,722"
Cavalier County,North Dakota,"3,827"
Dickey County,North Dakota,"5,054"
Divide County,North Dakota,"2,459"
Dunn County,North Dakota,"4,578"
Eddy County,North Dakota,"2,305"
Emmons County,North Dakota,"3,397"
Foster County,North Dakota,"3,325"
Golden Valley County,North Dakota,"1,879"
Grand Forks County,North Dakota,"70,352"
Grant County,North Dakota,"2,396"
Griggs County,North Dakota,"2,288"
Hettinger County,North Dakota,"2,657"
Kidder County,North Dakota,"2,449"
LaMoure County,North Dakota,"4,136"
Logan County,North Dakota,"1,927"
McHenry County,North Dakota,"5,975"
McIntosh County,North Dakota,"2,717"
McKenzie County,North Dakota,"12,794"
McLean County,North Dakota,"9,664"
Mercer County,North Dakota,"8,786"
Morton County,North Dakota,"30,249"
Mountrail County,North Dakota,"10,311"
Nelson County,North Dakota,"2,914"
Oliver County,North Dakota,"1,865"
Pembina County,North Dakota,"7,031"
Pierce County,North Dakota,"4,273"
Ramsey County,North Dakota,"11,664"
Ransom County,North Dakota,"5,451"
Renville County,North Dakota,"2,551"
Richland County,North Dakota,"16,286"
Rolette County,North Dakota,"14,698"
Sargent County,North Dakota,"3,866"
Sheridan County,North Dakota,"1,311"
Sioux County,North Dakota,"4,377"
Slope County,North Dakota",781
Stark County,North Dakota,"31,861"
Steele County,North Dakota,"1,915"
Stutsman County,North Dakota,"21,047"
Towner County,North Dakota,"2,251"
Traill County,North Dakota,"7,987"
Walsh County,North Dakota,"10,852"
Ward County,North Dakota,"70,703"
Wells County,North Dakota,"4,095"
Williams County,North Dakota,"35,301"
Adams County,Ohio,"27,926"
Allen County,Ohio,"104,095"
Ashland County,Ohio,"53,310"
Ashtabula County,Ohio,"98,404"
Athens County,Ohio,"65,886"
Auglaize County,Ohio,"45,734"
Belmont County,Ohio,"68,973"
Brown County,Ohio,"43,697"
Butler County,Ohio,"375,998"
Carroll County,Ohio,"27,718"
Champaign County,Ohio,"38,963"
Clark County,Ohio,"135,746"
Clermont County,Ohio,"201,995"
Clinton County,Ohio,"41,839"
Columbiana County,Ohio,"104,714"
Coshocton County,Ohio,"36,577"
Crawford County,Ohio,"42,324"
Cuyahoga County,Ohio,"1,258,739"
Darke County,Ohio,"51,981"
Defiance County,Ohio,"38,326"
Delaware County,Ohio,"193,391"
Erie County,Ohio,"75,360"
Fairfield County,Ohio,"151,254"
Fayette County,Ohio,"28,611"
Franklin County,Ohio,"1,257,386"
Fulton County,Ohio,"42,301"
Gallia County,Ohio,"30,249"
Geauga County,Ohio,"93,894"
Greene County,Ohio,"164,272"
Guernsey County,Ohio,"39,392"
Hamilton County,Ohio,"809,527"
Hancock County,Ohio,"75,678"
Hardin County,Ohio,"31,616"
Harrison County,Ohio,"15,395"
Henry County,Ohio,"27,481"
Highland County,Ohio,"42,960"
Hocking County,Ohio,"28,500"
Holmes County,Ohio,"43,882"
Huron County,Ohio,"58,307"
Jackson County,Ohio,"32,559"
Jefferson County,Ohio,"67,495"
Knox County,Ohio,"61,001"
Lake County,Ohio,"229,836"
Lawrence County,Ohio,"60,923"
Licking County,Ohio,"170,611"
Logan County,Ohio,"45,250"
Lorain County,Ohio,"305,417"
Lucas County,Ohio,"433,633"
Madison County,Ohio,"44,139"
Mahoning County,Ohio,"231,846"
Marion County,Ohio,"65,431"
Medina County,Ohio,"176,126"
Meigs County,Ohio,"23,180"
Mercer County,Ohio,"40,723"
Miami County,Ohio,"104,075"
Monroe County,Ohio,"14,253"
Montgomery County,Ohio,"531,777"
Morgan County,Ohio,"14,735"
Morrow County,Ohio,"34,943"
Muskingum County,Ohio,"86,194"
Noble County,Ohio,"14,467"
Ottawa County,Ohio,"40,754"
Paulding County,Ohio,"18,959"
Perry County,Ohio,"35,967"
Pickaway County,Ohio,"56,989"
Pike County,Ohio,"28,117"
Portage County,Ohio,"162,594"
Preble County,Ohio,"41,297"
Putnam County,Ohio,"34,026"
Richland County,Ohio,"121,688"
Ross County,Ohio,"77,049"
Sandusky County,Ohio,"59,475"
Scioto County,Ohio,"76,992"
Seneca County,Ohio,"55,650"
Shelby County,Ohio,"49,030"
Stark County,Ohio,"374,715"
Summit County,Ohio,"541,788"
Trumbull County,Ohio,"203,328"
Tuscarawas County,Ohio,"92,739"
Union County,Ohio,"54,388"
Van Wert County,Ohio,"28,319"
Vinton County,Ohio,"13,082"
Warren County,Ohio,"223,864"
Washington County,Ohio,"61,020"
Wayne County,Ohio,"116,214"
Williams County,Ohio,"37,007"
Wood County,Ohio,"129,285"
Wyandot County,Ohio,"22,176"
Adair County,Oklahoma,"22,259"
Alfalfa County,Oklahoma,"5,917"
Atoka County,Oklahoma,"13,889"
Beaver County,Oklahoma,"5,455"
Beckham County,Oklahoma,"23,554"
Blaine County,Oklahoma,"9,762"
Bryan County,Oklahoma,"45,021"
Caddo County,Oklahoma,"29,433"
Canadian County,Oklahoma,"133,158"
Carter County,Oklahoma,"48,568"
Cherokee County,Oklahoma,"48,376"
Choctaw County,Oklahoma,"14,984"
Cimarron County,Oklahoma,"2,225"
Cleveland County,Oklahoma,"273,841"
Coal County,Oklahoma,"5,608"
Comanche County,Oklahoma,"124,005"
Cotton County,Oklahoma,"6,006"
Craig County,Oklahoma,"14,709"
Creek County,Oklahoma,"70,801"
Custer County,Oklahoma,"29,565"
Delaware County,Oklahoma,"41,704"
Dewey County,Oklahoma,"4,984"
Ellis County,Oklahoma,"4,223"
Garfield County,Oklahoma,"63,248"
Garvin County,Oklahoma,"27,920"
Grady County,Oklahoma,"54,559"
Grant County,Oklahoma,"4,500"
Greer County,Oklahoma,"6,031"
Harmon County,Oklahoma,"2,782"
Harper County,Oklahoma,"3,826"
Haskell County,Oklahoma,"12,750"
Hughes County,Oklahoma,"13,592"
Jackson County,Oklahoma,"25,459"
Jefferson County,Oklahoma,"6,266"
Johnston County,Oklahoma,"10,967"
Kay County,Oklahoma,"45,226"
Kingfisher County,Oklahoma,"15,588"
Kiowa County,Oklahoma,"9,116"
Latimer County,Oklahoma,"10,624"
Le Flore County,Oklahoma,"50,018"
Lincoln County,Oklahoma,"34,928"
Logan County,Oklahoma,"45,346"
Love County,Oklahoma,"9,815"
McClain County,Oklahoma,"37,973"
McCurtain County,Oklahoma,"33,173"
McIntosh County,Oklahoma,"19,817"
Major County,Oklahoma,"7,771"
Marshall County,Oklahoma,"16,266"
Mayes County,Oklahoma,"40,889"
Murray County,Oklahoma,"13,860"
Muskogee County,Oklahoma,"69,319"
Noble County,Oklahoma,"11,550"
Nowata County,Oklahoma,"10,519"
Okfuskee County,Oklahoma,"12,107"
Oklahoma County,Oklahoma,"777,373"
Okmulgee County,Oklahoma,"39,065"
Osage County,Oklahoma,"47,338"
Ottawa County,Oklahoma,"31,862"
Pawnee County,Oklahoma,"16,439"
Payne County,Oklahoma,"81,363"
Pittsburg County,Oklahoma,"44,716"
Pontotoc County,Oklahoma,"38,336"
Pottawatomie County,Oklahoma,"71,479"
Pushmataha County,Oklahoma,"11,162"
Roger Mills County,Oklahoma,"3,773"
Rogers County,Oklahoma,"90,080"
Seminole County,Oklahoma,"25,399"
Sequoyah County,Oklahoma,"41,782"
Stephens County,Oklahoma,"44,576"
Texas County,Oklahoma,"21,446"
Tillman County,Oklahoma,"7,567"
Tulsa County,Oklahoma,"640,470"
Wagoner County,Oklahoma,"76,733"
Washington County,Oklahoma,"52,091"
Washita County,Oklahoma,"11,687"
Woods County,Oklahoma,"9,303"
Woodward County,Oklahoma,"21,608"
Baker County,Oregon,"15,882"
Benton County,Oregon,"88,333"
Clackamas County,Oregon,"399,647"
Clatsop County,Oregon,"37,797"
Columbia County,Oregon,"49,646"
Coos County,Oregon,"62,643"
Crook County,Oregon,"21,455"
Curry County,Oregon,"22,293"
Deschutes County,Oregon,"174,246"
Douglas County,Oregon,"107,164"
Gilliam County,Oregon,"1,868"
Grant County,Oregon,"7,207"
Harney County,Oregon,"7,150"
Hood River County,Oregon,"22,927"
Jackson County,Oregon,"211,403"
Jefferson County,Oregon,"22,541"
Josephine County,Oregon,"84,528"
Klamath County,Oregon,"65,670"
Lake County,Oregon,"7,779"
Lane County,Oregon,"361,946"
Lincoln County,Oregon,"46,999"
Linn County,Oregon,"120,236"
Malheur County,Oregon,"30,211"
Marion County,Oregon,"329,060"
Morrow County,Oregon,"11,130"
Multnomah County,Oregon,"790,008"
Polk County,Oregon,"78,962"
Sherman County,Oregon,"1,689"
Tillamook County,Oregon,"25,561"
Umatilla County,Oregon,"76,467"
Union County,Oregon,"25,703"
Wallowa County,Oregon,"6,813"
Wasco County,Oregon,"25,457"
Washington County,Oregon,"572,664"
Wheeler County,Oregon,"1,326"
Yamhill County,Oregon,"101,381"
Adams County,Pennsylvania,"101,808"
Allegheny County,Pennsylvania,"1,228,827"
Armstrong County,Pennsylvania,"66,860"
Beaver County,Pennsylvania,"168,241"
Bedford County,Pennsylvania,"48,748"
Berks County,Pennsylvania,"415,138"
Blair County,Pennsylvania,"124,596"
Bradford County,Pennsylvania,"61,644"
Bucks County,Pennsylvania,"625,276"
Butler County,Pennsylvania,"185,936"
Cambria County,Pennsylvania,"136,028"
Cameron County,Pennsylvania,"4,776"
Carbon County,Pennsylvania,"63,753"
Centre County,Pennsylvania,"160,466"
Chester County,Pennsylvania,"515,055"
Clarion County,Pennsylvania,"38,876"
Clearfield County,Pennsylvania,"80,718"
Clinton County,Pennsylvania,"39,400"
Columbia County,Pennsylvania,"66,681"
Crawford County,Pennsylvania,"86,510"
Cumberland County,Pennsylvania,"245,744"
Dauphin County,Pennsylvania,"273,085"
Delaware County,Pennsylvania,"563,225"
Elk County,Pennsylvania,"30,897"
Erie County,Pennsylvania,"278,174"
Fayette County,Pennsylvania,"133,252"
Forest County,Pennsylvania,"7,381"
Franklin County,Pennsylvania,"153,048"
Fulton County,Pennsylvania,"14,509"
Greene County,Pennsylvania,"37,402"
Huntingdon County,Pennsylvania,"45,499"
Indiana County,Pennsylvania,"86,747"
Jefferson County,Pennsylvania,"44,344"
Juniata County,Pennsylvania,"24,445"
Lackawanna County,Pennsylvania,"211,863"
Lancaster County,Pennsylvania,"535,811"
Lawrence County,Pennsylvania,"88,122"
Lebanon County,Pennsylvania,"137,479"
Lehigh County,Pennsylvania,"359,710"
Luzerne County,Pennsylvania,"318,059"
Lycoming County,Pennsylvania,"115,598"
McKean County,Pennsylvania,"42,400"
Mercer County,Pennsylvania,"113,624"
Mifflin County,Pennsylvania,"46,427"
Monroe County,Pennsylvania,"166,481"
Montgomery County,Pennsylvania,"817,180"
Montour County,Pennsylvania,"18,299"
Northampton County,Pennsylvania,"300,090"
Northumberland County,Pennsylvania,"92,878"
Perry County,Pennsylvania,"45,849"
Philadelphia County,Pennsylvania,"1,571,065"
Pike County,Pennsylvania,"55,322"
Potter County,Pennsylvania,"17,086"
Schuylkill County,Pennsylvania,"144,117"
Snyder County,Pennsylvania,"40,509"
Somerset County,Pennsylvania,"75,383"
Sullivan County,Pennsylvania,"6,267"
Susquehanna County,Pennsylvania,"41,775"
Tioga County,Pennsylvania,"41,519"
Union County,Pennsylvania,"45,519"
Venango County,Pennsylvania,"52,954"
Warren County,Pennsylvania,"40,334"
Washington County,Pennsylvania,"207,718"
Wayne County,Pennsylvania,"51,823"
Westmoreland County,Pennsylvania,"356,923"
Wyoming County,Pennsylvania,"27,812"
York County,Pennsylvania,"441,741"
Bristol County,Rhode Island,"49,127"
Kent County,Rhode Island,"163,747"
Newport County,Rhode Island,"83,259"
Providence County,Rhode Island,"633,747"
Washington County,Rhode Island,"126,185"
Abbeville County,South Carolina,"24,796"
Aiken County,South Carolina,"165,688"
Allendale County,South Carolina,"9,430"
Anderson County,South Carolina,"193,700"
Bamberg County,South Carolina,"14,682"
Barnwell County,South Carolina,"21,781"
Beaufort County,South Carolina,"179,796"
Berkeley County,South Carolina,"203,066"
Calhoun County,South Carolina,"14,759"
Charleston County,South Carolina,"389,310"
Cherokee County,South Carolina,"56,512"
Chester County,South Carolina,"32,410"
Chesterfield County,South Carolina,"46,135"
Clarendon County,South Carolina,"34,029"
Colleton County,South Carolina,"37,439"
Darlington County,South Carolina,"67,520"
Dillon County,South Carolina,"31,141"
Dorchester County,South Carolina,"152,809"
Edgefield County,South Carolina,"26,782"
Fairfield County,South Carolina,"22,874"
Florence County,South Carolina,"138,715"
Georgetown County,South Carolina,"61,456"
Greenville County,South Carolina,"490,900"
Greenwood County,South Carolina,"69,962"
Hampton County,South Carolina,"19,963"
Horry County,South Carolina,"308,987"
Jasper County,South Carolina,"27,460"
Kershaw County,South Carolina,"63,661"
Lancaster County,South Carolina,"86,261"
Laurens County,South Carolina,"66,421"
Lee County,South Carolina,"17,809"
Lexington County,South Carolina,"281,675"
McCormick County,South Carolina,"9,656"
Marion County,South Carolina,"31,770"
Marlboro County,South Carolina,"27,585"
Newberry County,South Carolina,"37,772"
Oconee County,South Carolina,"75,863"
Orangeburg County,South Carolina,"89,159"
Pickens County,South Carolina,"121,500"
Richland County,South Carolina,"406,008"
Saluda County,South Carolina,"20,159"
Spartanburg County,South Carolina,"296,558"
Sumter County,South Carolina,"107,151"
Union County,South Carolina,"27,743"
Williamsburg County,South Carolina,"32,519"
York County,South Carolina,"250,566"
Aurora County,South Dakota,"2,744"
Beadle County,South Dakota,"18,127"
Bennett County,South Dakota,"3,402"
Bon Homme County,South Dakota,"6,943"
Brookings County,South Dakota,"33,800"
Brown County,South Dakota,"38,400"
Brule County,South Dakota,"5,243"
Buffalo County,South Dakota,"2,098"
Butte County,South Dakota,"10,207"
Campbell County,South Dakota,"1,413"
Charles Mix County,South Dakota,"9,360"
Clark County,South Dakota,"3,649"
Clay County,South Dakota,"13,768"
Codington County,South Dakota,"27,899"
Corson County,South Dakota,"4,175"
Custer County,South Dakota,"8,444"
Davison County,South Dakota,"19,916"
Day County,South Dakota,"5,496"
Deuel County,South Dakota,"4,323"
Dewey County,South Dakota,"5,705"
Douglas County,South Dakota,"2,952"
Edmunds County,South Dakota,"3,996"
Fall River County,South Dakota,"6,800"
Faulk County,South Dakota,"2,307"
Grant County,South Dakota,"7,218"
Gregory County,South Dakota,"4,192"
Haakon County,South Dakota,"1,850"
Hamlin County,South Dakota,"5,976"
Hand County,South Dakota,"3,306"
Hanson County,South Dakota,"3,387"
